SITE_ID,Week,Year,DATEOFF,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,DATEON
BFT142,10,2020,3/10/20 8:00,0.096,0.731,0.319,0.124,0.059,0.084,0.645,0.235,0.678,0.427,0.163,0.836,0.992,3/3/20
BFT142,10,2021,3/9/21 8:00,0.2,0.353,0.398,0.154,0.044,0.061,0.351,0.241,0.656,0.643,0.245,0.768,1.047,3/2/21
BFT142,10,2022,3/15/22 8:00,0.089,0.8,0.355,0.138,0.047,0.085,0.683,0.195,0.598,0.4,0.153,0.862,0.946,3/8/22
BFT142,10,2023,3/14/23 8:00,0.155,0.257,0.249,0.097,0.048,0.041,0.264,0.178,0.423,0.474,0.181,0.605,0.668,3/7/23
BFT142,10,2024,3/12/24 8:00,0.075,1.553,0.143,0.055,0.064,0.125,1.004,0.158,0.506,0.334,0.127,0.732,0.647,3/5/24
BFT142,11,2020,3/17/20 8:00,0.113,1.581,0.23,0.089,0.091,0.173,1.424,0.163,1.163,0.374,0.143,1.192,1.389,3/10/20
BFT142,11,2021,3/16/21 8:00,0.244,0.764,0.525,0.204,0.145,0.097,0.703,0.301,0.97,0.799,0.305,0.996,1.487,3/9/21
BFT142,11,2022,3/22/22 8:00,0.137,1.487,0.255,0.099,0.071,0.135,1.071,0.151,0.468,0.265,0.101,0.935,0.719,3/15/22
BFT142,11,2023,3/21/23 8:00,0.115,1.141,0.326,0.126,0.052,0.102,0.761,0.25,0.626,0.468,0.179,0.948,0.947,3/14/23
BFT142,11,2024,3/19/24 8:00,0.183,0.356,0.434,0.168,0.123,0.086,0.612,0.226,0.849,0.487,0.186,0.962,1.276,3/12/24
BFT142,12,2020,3/24/20 8:00,0.113,1.581,0.23,0.089,0.091,0.173,1.424,0.163,1.163,0.374,0.143,1.192,1.389,3/17/20
BFT142,12,2021,3/23/21 8:00,-,-,-,-,-,-,-,-,-,-,-,-,-,3/16/21
BFT142,12,2022,3/29/22 8:00,0.138,1.498,0.257,0.1,0.075,0.136,1.077,0.152,0.47,0.266,0.102,0.94,0.723,3/22/22
BFT142,12,2023,3/28/23 8:00,0.159,1.984,0.186,0.072,0.094,0.185,1.396,0.215,1.053,0.326,0.124,1.339,1.236,3/21/23
BFT142,12,2024,3/26/24 8:00,0.25,3.934,0.167,0.065,0.137,0.287,2.185,0.18,0.747,0.292,0.111,1.104,0.911,3/19/24
BFT142,13,2020,3/31/20 8:00,0.131,0.985,0.382,0.148,0.106,0.134,1.09,0.393,0.988,0.44,0.168,1.7,1.364,3/24/20
BFT142,13,2021,3/30/21 8:00,0.131,1.425,0.229,0.089,0.104,0.167,1.361,0.286,0.977,0.423,0.161,1.701,1.201,3/23/21
BFT142,13,2022,4/5/22 8:00,0.241,2.547,0.396,0.154,0.443,0.21,1.658,0.226,0.722,0.34,0.13,1.394,1.112,3/29/22
BFT142,13,2023,4/4/23 8:00,0.185,2.148,0.425,0.165,0.082,0.191,1.466,0.239,0.869,0.402,0.153,1.267,1.287,3/28/23
BFT142,13,2024,4/2/24 8:00,0.179,1.676,0.258,0.1,0.089,0.157,1.154,0.328,0.901,0.456,0.174,1.057,1.155,3/26/24
BFT142,14,2020,4/7/20 8:00,0.103,0.598,0.322,0.125,0.051,0.078,0.604,0.119,0.523,0.298,0.114,0.732,0.841,3/31/20
BFT142,14,2021,4/6/21 8:00,0.216,0.447,0.296,0.115,0.062,0.07,0.405,0.265,0.551,0.561,0.214,0.923,0.843,3/30/21
BFT142,14,2022,4/12/22 8:00,0.183,1.63,0.283,0.11,0.078,0.149,1.167,0.229,0.669,0.306,0.117,1.165,0.947,4/5/22
BFT142,14,2023,4/11/23 8:00,0.164,2.413,0.219,0.085,0.104,0.209,1.577,0.221,0.744,0.319,0.122,1.39,0.959,4/4/23
BFT142,14,2024,4/9/24 8:00,0.13,1.033,0.241,0.094,0.074,0.108,0.859,0.22,0.541,0.416,0.159,1.102,0.778,4/2/24
BFT142,15,2020,4/14/20 8:00,0.201,2.505,0.327,0.127,0.121,0.227,1.706,0.189,0.684,0.385,0.147,1.453,1.006,4/7/20
BFT142,15,2021,4/13/21 8:00,0.397,0.653,0.756,0.293,0.136,0.141,0.976,0.293,1.165,0.501,0.191,1.771,1.909,4/6/21
BFT142,15,2022,4/19/22 8:00,0.249,2.896,0.159,0.062,0.099,0.231,1.832,0.198,1.012,0.246,0.094,1.226,1.169,4/12/22
BFT142,15,2023,4/18/23 8:00,0.142,1.312,0.217,0.084,0.075,0.136,1.008,0.236,0.798,0.383,0.146,1.047,1.011,4/11/23
